CellsPerSensor,MSE,Weight&Biases,ObjectiveFunctionValue,Architecture
1,0.3653215596048855,107,0.4065788775840878,"[14, 4]"
1,0.9606169554999046,177,1.1466222666698151,"[11, 11]"
1,0.24685244614035268,290,0.32990039450829467,"[15, 10, 7]"
1,0.3445219600774669,139,0.39589848730549715,"[14, 6]"
1,0.3989744794197029,123,0.4511940231313767,"[14, 5]"
1,0.36230079081581257,123,0.40972032003055764,"[14, 5]"
1,0.6790480013640542,247,0.8693030679200924,"[16, 11]"
1,0.4914154765139257,175,0.5853968271819731,"[16, 7]"
1,0.3390832467524574,223,0.4237932180004165,"[17, 9]"
1,0.41535291821895637,206,0.5103662290503455,"[15, 6, 8]"
1,0.41407221953803514,100,0.45762057501647146,"[13, 4]"
1,0.24087801199930525,247,0.30836699968906406,"[16, 11]"
1,0.30714500776687265,199,0.37477279939331426,"[15, 9]"
1,0.3755970464744473,97,0.4138555019592826,"[15, 3]"
1,0.8546521614865844,189,1.0324548112038243,"[14, 6, 7]"
1,0.31691105053472823,81,0.34364912000025716,[20]
1,0.3704140493086525,135,0.42395250487427444,"[18, 4]"
1,0.2320676251570284,182,0.2783916170783641,"[15, 8]"
1,0.5217612185864512,165,0.6153615908113302,"[15, 7]"
1,0.4454643654563123,100,0.4923142617413385,"[13, 4]"
1,0.23606309429976954,121,0.26642668911724143,"[19, 3]"
1,0.3973121402024946,289,0.5304481520283096,"[19, 11]"
1,0.418485401555002,197,0.5096081038660228,"[14, 6, 8]"
1,0.6284796747377037,139,0.7222011406035224,"[14, 6]"
1,0.22875259946213106,81,0.2480526613707281,[20]
1,0.4253993789225001,240,0.5407885990024816,"[16, 7, 8]"
1,0.3688222463428541,114,0.4133583162933003,"[15, 4]"
1,0.5146122952867361,193,0.6241643982866626,"[16, 8]"
1,0.7000461876968693,339,0.9825451680834799,"[16, 10, 10]"
1,0.493268536646889,246,0.6308409211592637,"[17, 8, 5]"
1,0.3492042148126268,265,0.4551635904591413,"[16, 12]"
1,0.452167854988543,165,0.5332836566759775,"[15, 7]"
1,0.41488564322148297,123,0.4691877103939534,"[14, 5]"
1,0.36780854909806493,165,0.43379087180947845,"[15, 7]"
1,0.45326009951682283,121,0.5115606400967878,"[16, 4]"
1,0.7117081353003096,272,0.934178847122554,"[13, 11, 6]"
1,0.928934883801044,45,0.9716917684969587,[11]
1,0.3504480729438829,204,0.429753824733371,"[17, 8]"
1,0.29193811622020027,215,0.3619629465734761,"[18, 8]"
1,0.33909800149279806,128,0.3854028518052119,"[17, 4]"
1,0.4021992907282697,131,0.4584942330967618,"[15, 5]"
1,0.4658596218172347,310,0.6351647080457364,"[19, 12]"
1,0.47233185718402837,53,0.49804071254912136,[13]
1,0.326321235330754,139,0.37498359586151736,"[14, 6]"
1,0.24992114132812632,185,0.30070972582376143,"[17, 7]"
1,0.35281579518252487,77,0.38105590401304057,[19]
1,0.46287813590480675,91,0.5069760754683504,"[14, 3]"
1,0.5457726753191762,157,0.6385516363104035,"[16, 6]"
1,0.4217639958446789,182,0.5059540758827666,"[15, 8]"
1,0.49728896345303636,155,0.5806634171456535,"[14, 7]"
1,0.2984684897520437,185,0.35912279066672304,"[17, 7]"
1,0.42548637530401956,157,0.49781719288030085,"[16, 6]"
1,0.19843159574294345,61,0.21091272765560704,[15]
1,0.6809895081037098,180,0.815292463205542,"[13, 6, 7]"
1,1.1462341546480563,125,1.2988534591918064,"[11, 7]"
1,0.5029129297989997,223,0.6285509264606305,"[17, 9]"
1,0.2284761778996532,77,0.2467638855849866,[19]
1,0.35401619368657916,258,0.4582169019101362,"[19, 6, 10]"
1,0.4151661112009264,281,0.5498682522118529,"[18, 9, 5]"
1,0.6588858252811842,103,0.7303692768861477,"[10, 6]"
1,0.516604265391925,171,0.6129461817926763,"[14, 8]"
1,0.3472913123349439,65,0.3706150580484647,[16]
1,0.2449906816837287,208,0.30163575370576134,"[17, 6, 6]"
1,0.6704738251062639,112,0.7499335961072329,"[11, 6]"
1,0.19766070425379495,77,0.2134818774434924,[19]
1,0.5430135078643669,135,0.6214989341504097,"[12, 7]"
1,0.47667167341004973,199,0.5816261795502564,"[15, 9]"
1,0.6172073041681412,157,0.7221298387443322,"[16, 6]"
1,0.23374101918997175,65,0.2494388379973371,[16]
1,0.44967287670900935,235,0.5687951648105705,"[14, 12]"
1,0.3315002472071552,65,0.35376348039270644,[16]
1,0.363298630633402,175,0.43277811924249066,"[16, 7]"
1,0.2590834116700816,165,0.3055611928959646,"[15, 7]"
1,0.34246195811527314,171,0.40632794519563253,"[20, 5]"
1,0.34596538177959835,233,0.4367402904469501,"[15, 11]"
1,0.2522633100186417,77,0.27245498915020405,[19]
1,0.6568930350082769,149,0.7624380025336852,"[12, 8]"
1,0.42988856128553427,245,0.5492347882013836,"[15, 9, 5]"
1,0.5689413926401251,123,0.6434069573688861,"[14, 5]"
1,0.253767357171614,77,0.2740794233602927,[19]
1,0.7079038950982348,268,0.9254761326621106,"[16, 9, 6]"
1,0.8905288446646826,165,1.0502835914115316,"[14, 6, 4]"
1,0.5575575326601385,187,0.6722065743601776,"[14, 9]"
1,0.3096678153786114,226,0.3881920376784855,"[19, 8]"
1,0.3337371998866523,115,0.3744108996824717,"[13, 5]"
1,0.4977316875923263,161,0.5846779319170675,"[15, 5, 5]"
1,0.4001877622360207,53,0.42196984011563654,[13]
1,0.3750052526945383,216,0.46541991125693954,"[15, 10]"
1,0.20033205050361005,155,0.23391931363505425,"[18, 5]"
1,0.5159181933757767,190,0.623873867763714,"[15, 6, 6]"
1,0.5040387034255027,139,0.5792030214408149,"[16, 5]"
1,0.19201464469340326,65,0.20491016089848962,[16]
1,0.5912067671865348,171,0.7014613600258565,"[14, 8]"
1,0.4619784407935633,265,0.6021570098721236,"[13, 9, 9]"
1,0.5079484023883785,175,0.6050916125794475,"[13, 9]"
1,0.1447906610629574,147,0.16771883605198928,"[17, 5]"
1,0.3124170652014894,160,0.366624822297305,"[13, 8]"
1,0.3257859049399255,244,0.4158149927234503,"[15, 8, 7]"
1,1.0394853860359146,121,1.1731891027219188,"[12, 6]"
1,0.4127632965930973,214,0.5112579702274392,"[17, 7, 4]"
